State,Year,Quarter,Registered_users,App_opens,Brand,User_Count,Percentage
andaman-&-nicobar-islands,2021,1,57758,1004336,Vivo,13812,0.23913570414488036
andaman-&-nicobar-islands,2021,1,57758,1004336,Xiaomi,13714,0.2374389694934035
andaman-&-nicobar-islands,2021,1,57758,1004336,Samsung,10861,0.18804321479275599
andaman-&-nicobar-islands,2021,1,57758,1004336,Oppo,5158,0.08930364624813879
andaman-&-nicobar-islands,2021,1,57758,1004336,Realme,3419,0.05919526299387098
andaman-&-nicobar-islands,2021,1,57758,1004336,OnePlus,1773,0.030697046296616917
andaman-&-nicobar-islands,2021,1,57758,1004336,Huawei,1575,0.027268949755877972
andaman-&-nicobar-islands,2021,1,57758,1004336,Motorola,1062,0.018387063263963433
andaman-&-nicobar-islands,2021,1,57758,1004336,Apple,1056,0.018283181550607708
andaman-&-nicobar-islands,2021,1,57758,1004336,Tecno,796,0.013781640638526264
andaman-&-nicobar-islands,2021,1,57758,1004336,Others,4532,0.07846532082135808
andaman-&-nicobar-islands,2021,2,62095,2248223,Vivo,15056,0.2424671873741847
andaman-&-nicobar-islands,2021,2,62095,2248223,Xiaomi,14788,0.2381512199049843
andaman-&-nicobar-islands,2021,2,62095,2248223,Samsung,11476,0.18481359207665674
andaman-&-nicobar-islands,2021,2,62095,2248223,Oppo,5456,0.0878653675819309
andaman-&-nicobar-islands,2021,2,62095,2248223,Realme,4034,0.06496497302520332
andaman-&-nicobar-islands,2021,2,62095,2248223,OnePlus,1981,0.031902729688380704
andaman-&-nicobar-islands,2021,2,62095,2248223,Huawei,1559,0.025106691360012885
andaman-&-nicobar-islands,2021,2,62095,2248223,Apple,1153,0.018568322731298815
andaman-&-nicobar-islands,2021,2,62095,2248223,Motorola,1054,0.0169739914646912
andaman-&-nicobar-islands,2021,2,62095,2248223,Tecno,974,0.015685642966422417
andaman-&-nicobar-islands,2021,2,62095,2248223,Others,4564,0.073500281826234
andaman-&-nicobar-islands,2021,3,66982,3121625,Vivo,16411,0.24500612104744557
andaman-&-nicobar-islands,2021,3,66982,3121625,Xiaomi,15938,0.2379445224090054
andaman-&-nicobar-islands,2021,3,66982,3121625,Samsung,12028,0.17957063091576841
andaman-&-nicobar-islands,2021,3,66982,3121625,Oppo,5853,0.0873816846316921
andaman-&-nicobar-islands,2021,3,66982,3121625,Realme,4808,0.0717804783374638
andaman-&-nicobar-islands,2021,3,66982,3121625,OnePlus,2306,0.03442715953539757
andaman-&-nicobar-islands,2021,3,66982,3121625,Huawei,1567,0.023394344749335643
andaman-&-nicobar-islands,2021,3,66982,3121625,Apple,1283,0.01915439968946881
andaman-&-nicobar-islands,2021,3,66982,3121625,Tecno,1178,0.017586814368039175
andaman-&-nicobar-islands,2021,3,66982,3121625,Motorola,1017,0.015183183541847063
andaman-&-nicobar-islands,2021,3,66982,3121625,Others,4593,0.06857066077453644
andaman-&-nicobar-islands,2021,4,71780,2112910,Vivo,17597,0.24515185288381164
andaman-&-nicobar-islands,2021,4,71780,2112910,Xiaomi,16968,0.2363889662858735
andaman-&-nicobar-islands,2021,4,71780,2112910,Samsung,12574,0.17517414321538033
andaman-&-nicobar-islands,2021,4,71780,2112910,Oppo,6127,0.08535803845082196
andaman-&-nicobar-islands,2021,4,71780,2112910,Realme,5830,0.08122039565338535
andaman-&-nicobar-islands,2021,4,71780,2112910,OnePlus,2691,0.03748955140707718
andaman-&-nicobar-islands,2021,4,71780,2112910,Apple,1490,0.020757871273335192
andaman-&-nicobar-islands,2021,4,71780,2112910,Huawei,1459,0.020325996099191977
andaman-&-nicobar-islands,2021,4,71780,2112910,Tecno,1417,0.01974087489551407
andaman-&-nicobar-islands,2021,4,71780,2112910,Motorola,1055,0.014697687378099749
andaman-&-nicobar-islands,2021,4,71780,2112910,Others,4572,0.06369462245750905
andaman-&-nicobar-islands,2022,1,76288,3847407,Vivo,18688,0.24496644295302014
andaman-&-nicobar-islands,2022,1,76288,3847407,Xiaomi,17957,0.23538433305369127
andaman-&-nicobar-islands,2022,1,76288,3847407,Samsung,12955,0.16981700922818793
andaman-&-nicobar-islands,2022,1,76288,3847407,Realme,6769,0.08872955117449664
andaman-&-nicobar-islands,2022,1,76288,3847407,Oppo,6461,0.08469221895973154
andaman-&-nicobar-islands,2022,1,76288,3847407,OnePlus,3005,0.039390205536912755
andaman-&-nicobar-islands,2022,1,76288,3847407,Tecno,1770,0.02320155201342282
andaman-&-nicobar-islands,2022,1,76288,3847407,Apple,1634,0.02141883389261745
andaman-&-nicobar-islands,2022,1,76288,3847407,Huawei,1441,0.018888947147651006
andaman-&-nicobar-islands,2022,1,76288,3847407,Motorola,1050,0.01376363255033557
andaman-&-nicobar-islands,2022,1,76288,3847407,Others,4558,0.05974727348993288
andhra-pradesh,2021,1,18363733,957709447,Xiaomi,4644641,0.2529246640647629
andhra-pradesh,2021,1,18363733,957709447,Samsung,3635596,0.19797695817075972
andhra-pradesh,2021,1,18363733,957709447,Vivo,3245151,0.17671521362241543
andhra-pradesh,2021,1,18363733,957709447,Oppo,2010506,0.10948242386229423
andhra-pradesh,2021,1,18363733,957709447,Realme,1531645,0.0834059719774841
andhra-pradesh,2021,1,18363733,957709447,Motorola,518115,0.028214034695451085
andhra-pradesh,2021,1,18363733,957709447,Huawei,455604,0.024809988252388553
andhra-pradesh,2021,1,18363733,957709447,Apple,421002,0.022925730841327305
andhra-pradesh,2021,1,18363733,957709447,OnePlus,355922,0.019381789094842537
andhra-pradesh,2021,1,18363733,957709447,Lenovo,277980,0.015137445093543889
andhra-pradesh,2021,1,18363733,957709447,Others,1267571,0.06902578032473027
andhra-pradesh,2021,2,19620905,1044705436,Xiaomi,4937684,0.25165424326757607
andhra-pradesh,2021,2,19620905,1044705436,Samsung,3798250,0.19358179451967175
andhra-pradesh,2021,2,19620905,1044705436,Vivo,3572140,0.18205786124544204
andhra-pradesh,2021,2,19620905,1044705436,Oppo,2173037,0.11075110959458802
andhra-pradesh,2021,2,19620905,1044705436,Realme,1817804,0.09264628721254192
andhra-pradesh,2021,2,19620905,1044705436,Motorola,503072,0.0256395920575529
andhra-pradesh,2021,2,19620905,1044705436,Apple,450689,0.022969837527881613
andhra-pradesh,2021,2,19620905,1044705436,Huawei,440324,0.022441574432983596
andhra-pradesh,2021,2,19620905,1044705436,OnePlus,394851,0.020123995299910987
andhra-pradesh,2021,2,19620905,1044705436,Lenovo,261201,0.013312382889576195
andhra-pradesh,2021,2,19620905,1044705436,Others,1271853,0.06482132195227489
andhra-pradesh,2021,3,21059898,1258536879,Xiaomi,5256707,0.249607429247758
andhra-pradesh,2021,3,21059898,1258536879,Vivo,3981492,0.18905561650868394
andhra-pradesh,2021,3,21059898,1258536879,Samsung,3911188,0.18571732873540034
andhra-pradesh,2021,3,21059898,1258536879,Oppo,2382363,0.11312319746277974
andhra-pradesh,2021,3,21059898,1258536879,Realme,2134616,0.10135927533932025
andhra-pradesh,2021,3,21059898,1258536879,Motorola,486971,0.023123141432118997
andhra-pradesh,2021,3,21059898,1258536879,Apple,480993,0.022839284406790575
andhra-pradesh,2021,3,21059898,1258536879,OnePlus,459011,0.021795499674309913
andhra-pradesh,2021,3,21059898,1258536879,Huawei,435214,0.020665532188237568
andhra-pradesh,2021,3,21059898,1258536879,Lenovo,245241,0.011644928194808921
andhra-pradesh,2021,3,21059898,1258536879,Others,1286102,0.061068766809791765
andhra-pradesh,2021,4,22489029,1447717601,Xiaomi,5518238,0.24537466690980744
andhra-pradesh,2021,4,22489029,1447717601,Vivo,4381023,0.19480712128567224
andhra-pradesh,2021,4,22489029,1447717601,Samsung,4017419,0.17863905996119264
andhra-pradesh,2021,4,22489029,1447717601,Oppo,2580845,0.1147601792856419
andhra-pradesh,2021,4,22489029,1447717601,Realme,2528884,0.11244967490592858
andhra-pradesh,2021,4,22489029,1447717601,Apple,544986,0.024233416213745824
andhra-pradesh,2021,4,22489029,1447717601,OnePlus,525373,0.023361302082006298
andhra-pradesh,2021,4,22489029,1447717601,Motorola,474422,0.02109570848968179
andhra-pradesh,2021,4,22489029,1447717601,Huawei,409934,0.01822817694796872
andhra-pradesh,2021,4,22489029,1447717601,Lenovo,224391,0.009977798507885778
andhra-pradesh,2021,4,22489029,1447717601,Others,1283514,0.05707289541046881
andhra-pradesh,2022,1,23857951,1254785973,Xiaomi,5743382,0.24073240824411116
andhra-pradesh,2022,1,23857951,1254785973,Vivo,4772765,0.20004924144575534
andhra-pradesh,2022,1,23857951,1254785973,Samsung,4124296,0.17286882683261443
andhra-pradesh,2022,1,23857951,1254785973,Realme,2864092,0.12004769395326531
andhra-pradesh,2022,1,23857951,1254785973,Oppo,2780974,0.11656382394280212
andhra-pradesh,2022,1,23857951,1254785973,Apple,594003,0.024897485957616393
andhra-pradesh,2022,1,23857951,1254785973,OnePlus,580737,0.024341444912851066
andhra-pradesh,2022,1,23857951,1254785973,Motorola,463652,0.019433856662711732
andhra-pradesh,2022,1,23857951,1254785973,Huawei,401477,0.0168278072161352
andhra-pradesh,2022,1,23857951,1254785973,Lenovo,222586,0.009329636061370064
andhra-pradesh,2022,1,23857951,1254785973,Others,1309987,0.0549077747707672
arunachal-pradesh,2021,1,251240,4796708,Vivo,58748,0.23383219232606273
arunachal-pradesh,2021,1,251240,4796708,Xiaomi,57405,0.2284867059385448
arunachal-pradesh,2021,1,251240,4796708,Samsung,48405,0.19266438465212546
arunachal-pradesh,2021,1,251240,4796708,Oppo,39602,0.1576261741760866
arunachal-pradesh,2021,1,251240,4796708,Realme,18658,0.07426365228466805
arunachal-pradesh,2021,1,251240,4796708,Apple,4560,0.018149976118452475
arunachal-pradesh,2021,1,251240,4796708,Gionee,2611,0.010392453430982327
arunachal-pradesh,2021,1,251240,4796708,Huawei,2526,0.0100541315077217
arunachal-pradesh,2021,1,251240,4796708,OnePlus,2342,0.00932176405031046
arunachal-pradesh,2021,1,251240,4796708,Motorola,2224,0.008852093615666296
arunachal-pradesh,2021,1,251240,4796708,Others,14159,0.056356471899379076
arunachal-pradesh,2021,2,270572,13025849,Vivo,63439,0.2344625460136304
arunachal-pradesh,2021,2,270572,13025849,Xiaomi,61629,0.22777301420693938
arunachal-pradesh,2021,2,270572,13025849,Samsung,51110,0.18889611637567819
arunachal-pradesh,2021,2,270572,13025849,Oppo,42407,0.15673092559466612
arunachal-pradesh,2021,2,270572,13025849,Realme,22481,0.08308694173824342
arunachal-pradesh,2021,2,270572,13025849,Apple,5062,0.018708513815176738
arunachal-pradesh,2021,2,270572,13025849,OnePlus,2622,0.009690581434886093
arunachal-pradesh,2021,2,270572,13025849,Gionee,2510,0.009276643555135047
arunachal-pradesh,2021,2,270572,13025849,Huawei,2408,0.008899664414647488
arunachal-pradesh,2021,2,270572,13025849,Motorola,2229,0.008238102981831084
arunachal-pradesh,2021,2,270572,13025849,Others,14675,0.054236949869166065
arunachal-pradesh,2021,3,293073,17209654,Vivo,69301,0.23646327024324998
arunachal-pradesh,2021,3,293073,17209654,Xiaomi,66832,0.22803874802523602
arunachal-pradesh,2021,3,293073,17209654,Samsung,52621,0.17954912257355676
arunachal-pradesh,2021,3,293073,17209654,Oppo,46021,0.15702913608554867
arunachal-pradesh,2021,3,293073,17209654,Realme,26567,0.09064976985256233
arunachal-pradesh,2021,3,293073,17209654,Apple,5574,0.019019152224872302
arunachal-pradesh,2021,3,293073,17209654,OnePlus,3208,0.01094607828083788
arunachal-pradesh,2021,3,293073,17209654,Gionee,2629,0.008970461284389896
arunachal-pradesh,2021,3,293073,17209654,Huawei,2593,0.008847624994455306
arunachal-pradesh,2021,3,293073,17209654,Motorola,2253,0.007687504478406404
arunachal-pradesh,2021,3,293073,17209654,Others,15474,0.05279913195688446
arunachal-pradesh,2021,4,314944,11230295,Vivo,74157,0.23546090733590733
arunachal-pradesh,2021,4,314944,11230295,Xiaomi,72002,0.22861842105263158
arunachal-pradesh,2021,4,314944,11230295,Samsung,54367,0.17262433956512904
arunachal-pradesh,2021,4,314944,11230295,Oppo,48973,0.1554974852672221
arunachal-pradesh,2021,4,314944,11230295,Realme,31777,0.10089730237756553
arunachal-pradesh,2021,4,314944,11230295,Apple,6342,0.02013691322901849
arunachal-pradesh,2021,4,314944,11230295,OnePlus,3900,0.01238315383052225
arunachal-pradesh,2021,4,314944,11230295,Gionee,2500,0.007937919122129648
arunachal-pradesh,2021,4,314944,11230295,Huawei,2496,0.007925218451534242
arunachal-pradesh,2021,4,314944,11230295,Motorola,2316,0.007353688274740906
arunachal-pradesh,2021,4,314944,11230295,Others,16114,0.05116465149359886
arunachal-pradesh,2022,1,335339,41418559,Vivo,78763,0.2348757525966261
arunachal-pradesh,2022,1,335339,41418559,Xiaomi,75927,0.2264186390488431
arunachal-pradesh,2022,1,335339,41418559,Samsung,56027,0.16707570548012607
arunachal-pradesh,2022,1,335339,41418559,Oppo,52153,0.1555232168044874
arunachal-pradesh,2022,1,335339,41418559,Realme,36430,0.10863633517127444
arunachal-pradesh,2022,1,335339,41418559,Apple,7110,0.021202425008722516
arunachal-pradesh,2022,1,335339,41418559,OnePlus,4423,0.01318963794846409
arunachal-pradesh,2022,1,335339,41418559,Huawei,2515,0.007499873262579062
arunachal-pradesh,2022,1,335339,41418559,Gionee,2482,0.007401465382791742
arunachal-pradesh,2022,1,335339,41418559,Infinix,2358,0.00703169031934848
